customer_id,name,email,city,state,signup_date
1,Alice Johnson,alice.j@email.com,New York,NY,2023-01-15
2,Bob Smith,bob.smith@email.com,Los Angeles,CA,2023-02-20
3,Charlie Brown,charlie.b@email.com,Chicago,IL,2023-03-10
4,Diana Prince,diana.p@email.com,Houston,TX,2023-04-05
5,Eve Davis,eve.d@email.com,Phoenix,AZ,2023-05-12
6,Frank Miller,frank.m@email.com,Philadelphia,PA,2023-06-18
7,Grace Lee,grace.l@email.com,San Antonio,TX,2023-07-22
8,Henry Wilson,henry.w@email.com,San Diego,CA,2023-08-30
9,Iris Chen,iris.c@email.com,Dallas,TX,2023-09-14
10,Jack Taylor,jack.t@email.com,San Jose,CA,2023-10-08
